id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_newConfirm,total_newDead,total_newHeal,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm
420000,2021-01-07 08:22:59,湖北,68149,0,63637,4512,0,0,,,,0,,0,0,,0
810000,2021-01-07 17:13:41,香港,9107,0,8258,154,0,0,,,,25,,131,1,,-74
440000,2021-01-07 08:37:57,广东,2062,0,2018,8,0,0,,,,2,,3,0,,-1
310000,2021-01-07 15:48:25,上海,1543,0,1442,7,0,0,,,,5,,5,0,,0
330000,2021-01-07 08:22:58,浙江,1306,0,1293,1,0,0,,,,0,,0,0,,0
410000,2021-01-07 08:22:58,河南,1300,0,1271,22,0,0,,,,0,,0,0,,0
430000,2021-01-07 08:22:59,湖南,1021,0,1016,4,0,0,,,,0,,0,0,,0
110000,2021-01-07 08:22:58,北京,994,0,947,9,0,0,400.0,0.0,362.0,0,,2,0,,-2
340000,2021-01-07 08:22:58,安徽,993,0,986,6,0,0,,,,0,,0,0,,0
650000,2021-01-07 08:22:58,新疆,980,0,977,3,0,0,,,,0,,0,0,,0
230000,2021-01-07 15:48:25,黑龙江,971,0,949,13,0,0,,,,1,,0,0,,1
360000,2021-01-07 08:22:58,江西,935,0,934,1,0,0,,,,0,,0,0,,0
370000,2021-01-07 08:37:57,山东,863,0,851,7,0,0,,,,0,,3,0,,-3
510000,2021-01-07 08:22:58,四川,857,0,828,3,0,0,,,,0,,0,0,,0
700000,2021-01-07 17:13:41,台湾,822,0,708,7,0,0,,,,5,,11,0,,-6
320000,2021-01-07 08:22:58,江苏,685,0,684,0,0,0,,,,0,,0,0,,0
500000,2021-01-07 08:22:58,重庆,590,0,584,6,0,0,,,,0,,0,0,,0
610000,2021-01-07 10:03:02,陕西,521,0,493,3,0,0,,,,2,,2,0,,0
350000,2021-01-07 10:28:04,福建,518,0,494,1,0,0,,,,0,,1,0,,-1
130000,2021-01-07 08:27:55,河北,465,0,367,6,0,0,,,,53,,0,0,,53
210000,2021-01-07 15:48:26,辽宁,374,0,304,2,0,0,,,,1,,10,0,,-9
150000,2021-01-07 08:22:59,内蒙古,366,0,346,1,0,0,,,,0,,1,0,,-1
120000,2021-01-07 08:22:58,天津,316,0,301,3,0,0,,,,0,,0,0,,0
450000,2021-01-07 08:22:58,广西,264,0,261,2,0,0,,,,0,,0,0,,0
530000,2021-01-07 08:22:58,云南,230,0,216,2,0,0,,,,0,,0,0,,0
140000,2021-01-07 08:22:59,山西,225,0,222,0,0,0,,,,0,,0,0,,0
620000,2021-01-07 08:22:58,甘肃,182,0,180,2,0,0,,,,0,,0,0,,0
460000,2021-01-07 08:22:58,海南,171,0,165,6,0,0,,,,0,,0,0,,0
220000,2021-01-07 08:22:58,吉林,157,0,155,2,0,0,,,,0,,0,0,,0
520000,2021-01-07 08:22:59,贵州,147,0,145,2,0,0,,,,0,,0,0,,0
640000,2021-01-07 08:22:58,宁夏,75,0,75,0,0,0,,,,0,,0,0,,0
820000,2021-01-07 08:22:58,澳门,46,0,46,0,0,0,,,,0,,0,0,,0
630000,2021-01-07 08:22:58,青海,18,0,18,0,0,0,,,,0,,0,0,,0
540000,2021-01-07 08:22:58,西藏,1,0,1,0,0,0,,,,0,,0,0,,0
